Senator,Estimated Holdings,Symbol,Company,Sector,Industry
Richard Blumenthal (D-CT),"$3,461,000",STT,State Street Bank & Trust Co,Capital Goods,Biotechnology: Laboratory Analytical Instruments
Mark Warner (D-VA),"$3,391,400",VMLUX,Vanguard Limited Tax-Exempt Fund,Capital Goods,Biotechnology: Laboratory Analytical Instruments
Joe Manchin (D-WV),"$3,224,500",ENS,Enersystems Inc,Capital Goods,Biotechnology: Laboratory Analytical Instruments
Mark Warner (D-VA),"$3,191,900",FMUSX,Federated Muni Ultra Short,Capital Goods,Biotechnology: Laboratory Analytical Instruments
Dianne Feinstein (D-CA),"$2,649,100",A,"Agilent Technologies, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
Dianne Feinstein (D-CA),"$2,283,400",DLR,"Digital Realty Trust, Inc.",Technology,Computer Software: Prepackaged Software
Tina Smith (D-MN),"$2,230,000",DXCM,DexCom Inc,Technology,Computer Software: Prepackaged Software
Dianne Feinstein (D-CA),"$2,100,800",PRDO,Career Education Corp,Technology,Computer Software: Prepackaged Software
Kamala Harris (D-CA),"$1,848,000",VTV,Vanguard Index Funds - Vanguard Value ETF,Technology,Computer Software: Prepackaged Software
Dianne Feinstein (D-CA),"$1,655,900",AVID,"Avid Technology, Inc.",Technology,Computer Software: Prepackaged Software
Dianne Feinstein (D-CA),"$1,577,700",CWK,Cushman & Wakefield Ltd,Health Care,Medical/Dental Instruments
Kamala Harris (D-CA),"$1,484,700",FCNTX,FCNTX - Fidelity Contrafund (NASDAQ),Health Care,Medical/Dental Instruments
Ron Wyden (D-OR),"$1,447,900",DFUSX,DFA US Large Co Fund,Health Care,Medical/Dental Instruments
Dianne Feinstein (D-CA),"$1,434,700",LIVC,Current Media,Health Care,Medical/Dental Instruments
Rob Portman (R-OH),"$1,427,400",VWITX,Vanguard Interm-Term Tx-Ex Inv,Health Care,Medical/Dental Instruments
Rob Portman (R-OH),"$1,425,300",IWB,iShares Russell 1000 Index,Health Care,Medical/Dental Instruments
Tina Smith (D-MN),"$1,423,600",PODD,Insulet Corp,Health Care,Medical/Dental Instruments
Dianne Feinstein (D-CA),"$1,413,400",MCHP,Microchip Technology,Health Care,Medical/Dental Instruments
Richard Blumenthal (D-CT),"$1,405,800",MMM,3M Company,Health Care,Medical/Dental Instruments
Elizabeth Warren (D-MA),"$1,400,000",TIEIX,TIAA-CREF Equity Index-Institutional,Technology,Computer Manufacturing
Kamala Harris (D-CA),"$1,286,700",VUG,Vanguard Growth ETF,Technology,Computer Manufacturing
Sheldon Whitehouse (D-RI),"$1,278,800",V,Visa Inc,Technology,Computer Manufacturing
Sheldon Whitehouse (D-RI),"$1,266,000",AAPL,Apple Inc.,Technology,Computer Manufacturing
Pat Roberts (R-KS),"$1,243,000",NFLX,Netflix Inc,Technology,Computer Communications Equipment
Thom Tillis (R-NC),"$1,231,400",HACAX,Harbor Capital Appreciation Institutional,Technology,Computer Communications Equipment
Ed Markey (D-MA),"$1,204,200",RYOCX,Rydex NASDAQ 100 INV Class Mutual Fund,Technology,Computer Communications Equipment
Richard Blumenthal (D-CT),"$1,194,300",IHRT,iHeartMedia Inc,Technology,Computer Communications Equipment
John Hoeven (R-ND),"$1,162,400",CSCO,"Cisco Systems, Inc.",Technology,Computer Communications Equipment
Rob Portman (R-OH),"$1,149,600",VOHIX,Vanguard OH Long Term Tax Exempt,Technology,Computer Manufacturing
Dianne Feinstein (D-CA),"$1,121,700",RST,RST Inc,Technology,Computer Manufacturing
Tina Smith (D-MN),"$1,092,500",SCHW,Charles Schwab,Technology,Computer Manufacturing
David Perdue (R-GA),"$1,052,300",GGSAX,Goldman Sachs Growth Strategy Fund,Technology,Computer Manufacturing
Tom Udall (D-NM),"$1,037,400",POCAX,Portfolio Optimization Moderate,Technology,Computer Manufacturing
John Hoeven (R-ND),"$1,012,800",EL,Estee Lauder Companies,Technology,Computer Manufacturing
John Hoeven (R-ND),"$991,300",MSFT,Microsoft Corp,Technology,Computer Manufacturing
Dan Sullivan (R-AK),"$975,300",RPM,RPM Inc,Technology,Computer Manufacturing
Catherine Cortez Masto (D-NV),"$968,400",TWCF,Town & Country Bank,Technology,Computer Manufacturing
John Hoeven (R-ND),"$963,700",MCD,McDonald's Corp,Technology,Computer Manufacturing
David Perdue (R-GA),"$952,400",GSGDX,Goldman Sachs Corporate Credit Investment Fund,Technology,Computer Manufacturing
David Perdue (R-GA),"$937,900",AAPL,Apple Inc.,Technology,Computer Manufacturing
John Hoeven (R-ND),"$917,200",BX,Blackstone Group,Finance,Specialty Insurers
John Hoeven (R-ND),"$910,700",SBUX,Starbucks Corp,Finance,Specialty Insurers
John Hoeven (R-ND),"$897,200",AJG,Arthur J. Gallagher & Co.,Finance,Specialty Insurers
David Perdue (R-GA),"$881,000",BAX,Baxter International,Technology,Computer Manufacturing
John Hoeven (R-ND),"$876,400",PEP,Pepsico Inc,Technology,Computer Manufacturing
Sheldon Whitehouse (D-RI),"$873,100",MSFT,Microsoft Corp,Technology,Computer Manufacturing
Rob Portman (R-OH),"$867,800",SPY,S&P 500 EFT,Technology,Computer Manufacturing
Kamala Harris (D-CA),"$838,500",FLPKX,SFDCP Mid Cap Core,Technology,Computer Manufacturing
Richard Blumenthal (D-CT),"$823,700",WELL,Welltower Inc,Technology,Computer Manufacturing
Catherine Cortez Masto (D-NV),"$807,900",SCHW,Charles Schwab,Technology,Computer Manufacturing
Sheldon Whitehouse (D-RI),"$803,000",NVDA,NVIDIA Corporation,Technology,Computer Manufacturing
John Hoeven (R-ND),"$793,500",AAPL,Apple Inc.,Technology,Computer Manufacturing
John Boozman (R-AR),"$786,700",SPY,S&P 500 EFT,Technology,"Computer Software: Programming, Data Processing"
Michael Bennet (D-CO),"$772,600",RPMGX,Rowe T Price Mid Cap Growth Fund,Technology,"Computer Software: Programming, Data Processing"
Mitch McConnell (R-KY),"$772,600",RPMGX,Rowe T Price Mid Cap Growth Fund,Technology,"Computer Software: Programming, Data Processing"
Dianne Feinstein (D-CA),"$749,300",FASMX,Fidelity Asset Manager Fund,Technology,"Computer Software: Programming, Data Processing"
Michael Bennet (D-CO),"$722,400",SPY,S&P 500 EFT,Technology,"Computer Software: Programming, Data Processing"
John Hoeven (R-ND),"$716,700",NKE,Nike Inc,Technology,"Computer Software: Programming, Data Processing"
Richard Blumenthal (D-CT),"$698,300",ESRT,Empire State Realty Trust Inc,Technology,"Computer Software: Programming, Data Processing"
John Hoeven (R-ND),"$697,100",HON,Honeywell International,Technology,"Computer Software: Programming, Data Processing"
John Hoeven (R-ND),"$671,000",MDLZ,Kraft Foods,Technology,"Computer Software: Programming, Data Processing"
Mitch McConnell (R-KY),"$669,300",WFC,Wells Fargo,Technology,"Computer Software: Programming, Data Processing"
Sheldon Whitehouse (D-RI),"$655,300",GOOGL,Alphabet Inc.,Technology,"Computer Software: Programming, Data Processing"
John Hoeven (R-ND),"$653,200",INTC,INTC-Intel Corp,Consumer Services,Catalog/Specialty Distribution
Ed Markey (D-MA),"$638,200",JAGTX,Janus Global Technology Class T Mutual Fund,Consumer Services,Catalog/Specialty Distribution
Dianne Feinstein (D-CA),"$637,600",BAM,Broofield Asset Management,Consumer Services,Catalog/Specialty Distribution
Mark Warner (D-VA),"$613,700",VVPLX,Vulcan Value Partners Fund,Consumer Services,Catalog/Specialty Distribution
John Barrasso (R-WY),"$612,400",VNQ,Vanguard REIT ETF,Consumer Services,Catalog/Specialty Distribution
Rob Portman (R-OH),"$610,100",SEBLX,Touchstone Moderate Growth Allc Fund,Consumer Services,Catalog/Specialty Distribution
Ted Cruz (R-TX),"$605,900",BFK,BlackRock Municipal Income Trust,Consumer Services,Catalog/Specialty Distribution
Rob Portman (R-OH),"$577,300",IJH,iShares Core S&P Mid Cap ETF,Consumer Services,Catalog/Specialty Distribution
John Hoeven (R-ND),"$576,100",BAF,BlackRock Inc,Consumer Services,Catalog/Specialty Distribution
John Hoeven (R-ND),"$572,800",PG,Procter & Gamble,Consumer Services,Catalog/Specialty Distribution
Catherine Cortez Masto (D-NV),"$553,600",PRGFX,T Rowe Price Growth Stock Fund,Consumer Services,Catalog/Specialty Distribution
John Hoeven (R-ND),"$552,900",PRNHX,T Rowe Price New Horizons,Consumer Services,Catalog/Specialty Distribution
David Perdue (R-GA),"$544,100",MUNI,CHEROKEE CNTY GA SCH SYS GO 5% 02/01/27 FA (MUNI),Consumer Services,Catalog/Specialty Distribution
John Hoeven (R-ND),"$543,700",CMI,Cummins Inc,Consumer Services,Catalog/Specialty Distribution
Sheldon Whitehouse (D-RI),"$532,000",JPM,JPMorgan Chase & Co,Consumer Services,Catalog/Specialty Distribution
Tom Carper (D-DE),"$531,500",DD,DowDuPont Inc,Consumer Services,Catalog/Specialty Distribution
Kelly Loeffler (R-GA),"$517,700",DFS,Discover Financial Services,Consumer Services,Catalog/Specialty Distribution
David Perdue (R-GA),"$513,800",GSFRX,Goldman Sachs High Yield Fl Rate Institutional,Consumer Services,Catalog/Specialty Distribution
John Boozman (R-AR),"$510,200",MBB,Barclay Mbs Bond,Consumer Services,Catalog/Specialty Distribution
Mitch McConnell (R-KY),"$505,100",VSIAX,Vanguard Small Cap Value Index Admiral,Consumer Services,Catalog/Specialty Distribution
Patty Murray (D-WA),"$503,900",FFFDX,Fidelity Freedom K 2020,Consumer Services,Catalog/Specialty Distribution
John Hoeven (R-ND),"$502,600",YUM,Yum! Brands,Consumer Services,Catalog/Specialty Distribution
David Perdue (R-GA),"$495,500",PODCX,Portfolio Growth Optimization,Consumer Services,Catalog/Specialty Distribution
John Hoeven (R-ND),"$491,100",MCHP,Microchip Technology,Consumer Services,Catalog/Specialty Distribution
David Perdue (R-GA),"$488,600",GS,Goldman Sachs,Consumer Services,Catalog/Specialty Distribution
Dianne Feinstein (D-CA),"$481,300",NVS,Novartis AG,Consumer Services,Catalog/Specialty Distribution
Susan Collins (R-ME),"$479,600",BMGAX,BlackRock Mid-Cap Growth Equity Inv,Consumer Services,Catalog/Specialty Distribution
John Hoeven (R-ND),"$479,100",KO,Coca-Cola Co,Consumer Services,Catalog/Specialty Distribution
Kamala Harris (D-CA),"$468,800",EZU,iShares MSCI Eurozone ETF,Consumer Services,Catalog/Specialty Distribution
John Hoeven (R-ND),"$465,200",FCNTX,FCNTX - Fidelity Contrafund (NASDAQ),Consumer Services,Catalog/Specialty Distribution
Thom Tillis (R-NC),"$462,900",IWD,iShares Russell 1000 Value ETF,Consumer Services,Catalog/Specialty Distribution
Steve Daines (R-MT),"$458,600",HABDX,Harbor Bond Institutional,Consumer Services,Catalog/Specialty Distribution
John Barrasso (R-WY),"$450,700",VAIPX,Vanguard Inflation-Protected Secs Adm Fund,Consumer Services,Catalog/Specialty Distribution
Catherine Cortez Masto (D-NV),"$446,200",VINIX,VINIX - Vanguard Institutional Index I (NASDAQ),Consumer Services,Catalog/Specialty Distribution
David Perdue (R-GA),"$440,600",AMZN,"Amazon.com, Inc.",Consumer Services,Catalog/Specialty Distribution
Maggie Hassan (D-NH),"$436,300",VTXVX,Vanguard Target Retirement 2015 Inv,Consumer Services,Catalog/Specialty Distribution
Amy Klobuchar (D-MN),"$435,200",VSGAX,Vanguard Small Cap Growth Index,Consumer Services,Catalog/Specialty Distribution
Sheldon Whitehouse (D-RI),"$430,000",AMZN,"Amazon.com, Inc.",Consumer Services,Catalog/Specialty Distribution
Rand Paul (R-KY),"$420,600",VAIPX,Vanguard Inflation-Protected Secs Adm Fund,Technology,Computer Manufacturing
Mitch McConnell (R-KY),"$419,200",TRBCX,T Rowe Price Blue Chip Growth,Technology,Computer Manufacturing
Chris Coons (D-DE),"$415,400",HBGIX,Hartford Disciplined Equity Fund,Technology,Computer Manufacturing
Tom Carper (D-DE),"$414,400",AAPL,Apple Inc.,Technology,Computer Manufacturing
Mitch McConnell (R-KY),"$403,900",SDGAX,Deutsch VSI Capital Growth,Health Care,Medical/Dental Instruments
Kamala Harris (D-CA),"$403,300",BIV,BIV Vanguard Bond Intermediate ETF,Health Care,Medical/Dental Instruments
Sheldon Whitehouse (D-RI),"$401,400",NFLX,Netflix Inc,Health Care,Medical/Dental Instruments
David Perdue (R-GA),"$400,700",SPY,S&P 500 EFT,Health Care,Medical/Dental Instruments
John Hoeven (R-ND),"$398,200",BSTZ,BlackRock Science and Technology Trust II,Health Care,Medical/Dental Instruments
Tina Smith (D-MN),"$395,800",CSII,"Cardiovascular Systems, Inc.",Health Care,Medical/Dental Instruments
Ron Wyden (D-OR),"$392,600",MLAAX,Mainstay Funds Large Cap Growth Fund,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
Kamala Harris (D-CA),"$388,300",VTTVX,Target Date Fund 2025,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
Shelley Moore Capito (R-WV),"$380,600",MSFT,Microsoft Corp,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
Rob Portman (R-OH),"$378,600",DISRX,Dreyfus International Stock Fund,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
Kamala Harris (D-CA),"$377,900",MBB,Barclay Mbs Bond,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
Kamala Harris (D-CA),"$374,800",VTRCX,SFDCP Target Date 2025,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
John Hoeven (R-ND),"$369,800",VRC,VF Corp,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
David Perdue (R-GA),"$369,700",RF,Regions Financial,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
John Hoeven (R-ND),"$368,400",VZ,Verizon Communications,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
Sheldon Whitehouse (D-RI),"$362,600",AMGN,Amgen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
Susan Collins (R-ME),"$362,500",MSFT,Microsoft Corp,Technology,Computer Manufacturing
Roy Blunt (R-MO),"$362,400",MDLZ,Kraft Foods,Technology,Computer Manufacturing
Kelly Loeffler (R-GA),"$361,600",DD,DowDuPont Inc,Technology,Computer Manufacturing
Mazie K Hirono (D-HI),"$361,400",AGTHX,American Funds Growth Fund of America,Technology,Computer Manufacturing
John Hoeven (R-ND),"$361,200",DE,Deere & Co,Technology,Computer Manufacturing
John Hoeven (R-ND),"$360,600",GIS,General Mills,Technology,Computer Manufacturing
Mitch McConnell (R-KY),"$360,600",VHCOX,Vanguard Capital Opportunity Fund,Technology,Computer Manufacturing
Kamala Harris (D-CA),"$356,800",ACWX,SFDCP International Equity,Technology,Computer Manufacturing
Dianne Feinstein (D-CA),"$353,900",FUN,Cedar Fair Limited Partnership Int,Technology,Computer Manufacturing
Pat Toomey (R-PA),"$351,900",QQQ,Power Shares QQQ Trust,Technology,Computer Manufacturing
Dianne Feinstein (D-CA),"$346,900",WCN,Waste Connections Inc,Technology,Computer Manufacturing
John Boozman (R-AR),"$346,200",FISV,Fiserv Inc,Technology,Computer Manufacturing
Joe Manchin (D-WV),"$341,800",MVBF,MVB Financial Corp,Technology,Computer Manufacturing
Chuck Grassley (R-IA),"$341,600",FXAIX,SPTN 500 Index,Technology,Computer Manufacturing
Jeff Merkley (D-OR),"$340,600",TWCGX,American Century Growth Institution,Technology,Computer Manufacturing
Mark Warner (D-VA),"$340,000",POGRX,Primecap Odyssey Funds,Technology,Computer Manufacturing
Tom Udall (D-NM),"$338,600",VINIX,VINIX - Vanguard Institutional Index I (NASDAQ),Technology,Computer Manufacturing
Ed Markey (D-MA),"$337,600",RSEGX,RS Small Cap Growth Mutual Fund,Technology,Computer Manufacturing
Mitch McConnell (R-KY),"$334,200",PREIX,T Rowe Price Equity Index 500,Technology,Computer Manufacturing
Mitch McConnell (R-KY),"$334,100",VGIAX,Vanguard Growth & Income Adm,Technology,Computer Manufacturing
Rob Portman (R-OH),"$332,000",POPFX,Prospector Opportunity (NASDAQ),Technology,Computer Manufacturing
Chuck Grassley (R-IA),"$331,800",VSMGX,Moderate Age-Based Option: Vanguard Growth Portfol,Technology,Computer Manufacturing
Dianne Feinstein (D-CA),"$328,500",PNR,Pentair plc,Technology,Computer Manufacturing
Dan Sullivan (R-AK),"$323,600",IWF,iShares Russell 1000 Growth,Technology,Computer Manufacturing
John Hoeven (R-ND),"$323,600",WMT,Wal-Mart Stores,Technology,Computer Manufacturing
Pat Roberts (R-KS),"$320,200",AAPL,Apple Inc.,Technology,Computer Manufacturing
Lamar Alexander (R-TN),"$319,100",VDADX,Vanguard Dividend Apprec Index,Technology,EDP Services
Sheldon Whitehouse (D-RI),"$316,900",VRC,VF Corp,Technology,EDP Services
Bill Cassidy (R-LA),"$312,200",PRWCX,T Rowe Price Capital Appreciation,Technology,EDP Services
David Perdue (R-GA),"$307,100",LYV,Live Nation Entertainment,Technology,EDP Services
Kamala Harris (D-CA),"$305,400",IEMG,iShares Core MSCI Emerging Markets ETF,Technology,EDP Services
David Perdue (R-GA),"$305,300",BAC,Bank of America,Technology,EDP Services
Tina Smith (D-MN),"$302,200",NEE,NextEra Energy,Technology,EDP Services
Catherine Cortez Masto (D-NV),"$300,800",GTMUX,Goldman Sachs Small/Mid Cap Fund,Technology,EDP Services
Angus King (D-ME),"$299,200",SDVSX,Sit Dividend Growth Fund,Technology,EDP Services
Shelley Moore Capito (R-WV),"$298,400",SVSPX,SSGA S&P 500 Index,Technology,EDP Services
Ben Cardin (D-MD),"$297,100",CGIIX,Calamos Growth & Income Fund,Technology,EDP Services
David Perdue (R-GA),"$296,900",GM,General Motors,Technology,EDP Services
David Perdue (R-GA),"$295,600",PFE,Pfizer Inc,Technology,EDP Services
John Hoeven (R-ND),"$294,800",PRU,Prudential Financial,Technology,EDP Services
Roy Blunt (R-MO),"$293,800",VIMSX,US Mid-Cap Equity Index FunD,Technology,EDP Services
John Hoeven (R-ND),"$291,500",CTSH,Cognizant Technology Solutions Corporation,Technology,EDP Services
Mitch McConnell (R-KY),"$290,500",NWS,News Corp,Consumer Services,Catalog/Specialty Distribution
James M Inhofe (R-OK),"$289,700",PEP,Pepsico Inc,Consumer Services,Catalog/Specialty Distribution
David Perdue (R-GA),"$287,300",WMT,Wal-Mart Stores,Consumer Services,Catalog/Specialty Distribution
Rob Portman (R-OH),"$285,900",VWAHX,Vanguard High Yield Tax Exempt Fund,Consumer Services,Catalog/Specialty Distribution
Jeanne Shaheen (D-NH),"$285,900",TVRRX,TVRRX - Thornburg Value R5 (NASDAQ),Consumer Services,Catalog/Specialty Distribution
Sheldon Whitehouse (D-RI),"$285,300",LRCX,Lam Research Corporation,Consumer Services,Catalog/Specialty Distribution
John Boozman (R-AR),"$284,100",TLT,iShares 20+ Year Treasury Bond,Consumer Services,Catalog/Specialty Distribution
John Hoeven (R-ND),"$283,700",MDU,MDU Resources Group,Consumer Services,Catalog/Specialty Distribution
David Perdue (R-GA),"$283,500",MRK,Merck & Co,Consumer Services,Catalog/Specialty Distribution
Thom Tillis (R-NC),"$283,300",OTCFX,T Rowe Price Small Cap Stock,Consumer Services,Catalog/Specialty Distribution
Tina Smith (D-MN),"$279,000",IIN,IntriCon Corp,Consumer Services,Catalog/Specialty Distribution
John Hoeven (R-ND),"$276,100",MDDVX,MDDVX - BlackRock Equity Dividend Inv A (NASDAQ),Consumer Services,Catalog/Specialty Distribution
Pat Roberts (R-KS),"$276,100",ETY,Eaton Vance Tax-Managed Diversified Equity Income,Consumer Services,Catalog/Specialty Distribution
Pat Roberts (R-KS),"$275,300",NVDA,NVIDIA Corporation,Consumer Services,Catalog/Specialty Distribution
Dianne Feinstein (D-CA),"$274,100",JNJ,Johnson & Johnson,Consumer Services,Catalog/Specialty Distribution
Ben Cardin (D-MD),"$273,500",IVE,Ishares S&P 500 Value Index,Consumer Services,Catalog/Specialty Distribution
Tom Carper (D-DE),"$272,700",TCWIX,T-C Lifecycle 2020 Institutional,Consumer Services,Catalog/Specialty Distribution
David Perdue (R-GA),"$271,400",DIS,The Walt Disney Co,Consumer Services,Catalog/Specialty Distribution
Mazie K Hirono (D-HI),"$270,100",CAIBX,American Funds Capital Income Builder Fund,Consumer Services,Catalog/Specialty Distribution
John Boozman (R-AR),"$270,100",AGZ,Barclay Agency Bond,Consumer Services,Catalog/Specialty Distribution
John Hoeven (R-ND),"$269,900",FB,Facebook Inc,Consumer Services,Catalog/Specialty Distribution
Ben Cardin (D-MD),"$269,400",GSFTX,Columbia Dividend Income A (NASDAQ),Consumer Services,Catalog/Specialty Distribution
John Hoeven (R-ND),"$268,800",AMZN,"Amazon.com, Inc.",Consumer Services,Catalog/Specialty Distribution
Ted Cruz (R-TX),"$267,100",VTTHX,Vanguard Target Retirement 2035,Consumer Non-Durables,Farming/Seeds/Milling
Shelley Moore Capito (R-WV),"$266,900",C,Citigroup Common Stock Fund,Consumer Non-Durables,Farming/Seeds/Milling
Kamala Harris (D-CA),"$266,900",EWL,iShares MSCI Switzerland Capped ETF,Consumer Non-Durables,Farming/Seeds/Milling
Roy Blunt (R-MO),"$266,600",MO,Altria Group,Consumer Non-Durables,Farming/Seeds/Milling
Rob Portman (R-OH),"$266,000",MDY,SPDR S&P Mid Cap 400 ETF,Technology,Computer Manufacturing
Sheldon Whitehouse (D-RI),"$264,900",PANW,Palo Alto Networks,Technology,Computer Manufacturing
James M Inhofe (R-OK),"$264,800",AAPL,Apple Inc.,Technology,Computer Manufacturing
Ted Cruz (R-TX),"$264,500",LIJKX,Blackrock Lifepath Portfolio Target 2035,Technology,EDP Services
David Perdue (R-GA),"$264,400",EPD,Enterprise Products Partners,Technology,EDP Services
John Hoeven (R-ND),"$262,500",PFE,Pfizer Inc,Technology,EDP Services
Mark Warner (D-VA),"$262,200",WES,WDE Partners LP,Technology,EDP Services
John Hoeven (R-ND),"$259,900",CCI,Crown Castle International,Technology,EDP Services
John Hoeven (R-ND),"$259,200",TJX,TJX Companies,Technology,EDP Services
John Hoeven (R-ND),"$259,100",T,AT&T Inc,Technology,EDP Services
Dianne Feinstein (D-CA),"$256,200",SERV,Servicemaster Global Holdings Inc,Technology,EDP Services
Tom Carper (D-DE),"$253,300",LNC,Lincoln National Corp,Technology,EDP Services
Mazie K Hirono (D-HI),"$253,100",CWGIX,American Cap World Growth Income Fund,Technology,EDP Services
Susan Collins (R-ME),"$252,800",ROP,Roper Industries,Technology,EDP Services
Tim Kaine (D-VA),"$252,200",KO,Coca-Cola Co,Technology,EDP Services
Doug Jones (D-AL),"$252,200",RWEBX,American Funds Washington Mutual Fund,Technology,EDP Services
John Hoeven (R-ND),"$251,500",ADP,"Automatic Data Processing, Inc.",Technology,EDP Services
Rob Portman (R-OH),"$250,900",LLINX,Longleaf Partners International,Technology,Semiconductors
Doug Jones (D-AL),"$250,700",ANCFX,American Funds Fundamental Investors Fd,Technology,Semiconductors
Pat Toomey (R-PA),"$250,100",SPY,S&P 500 EFT,Technology,Semiconductors
Susan Collins (R-ME),"$249,800",FASMX,Fidelity Asset Manager Fund,Technology,Semiconductors
Roy Blunt (R-MO),"$249,700",LMT,Lockheed Martin,Technology,Semiconductors
John Hoeven (R-ND),"$248,100",IBM,IBM Corp,Technology,Semiconductors
Patty Murray (D-WA),"$245,000",FLPSX,Fidelity Low Priced Stock Fund,Technology,Semiconductors
Susan Collins (R-ME),"$244,000",TFX,Teleflex Inc,Technology,Semiconductors
Ron Wyden (D-OR),"$243,800",FAGIX,Fidelity Capital & Income Fund,Technology,Semiconductors
Rob Portman (R-OH),"$242,300",OAKIX,Oakmark International Fund,Technology,Semiconductors
Sheldon Whitehouse (D-RI),"$239,400",EL,Estee Lauder Companies,Technology,Semiconductors
Dianne Feinstein (D-CA),"$239,300",JPM,JPMorgan Chase & Co,Technology,Semiconductors
Ron Wyden (D-OR),"$239,000",ACGMX,Invesco Growth & Income Fund,Technology,Semiconductors
Jerry Moran (R-KS),"$238,200",CAIBX,American Funds Capital Income Builder Fund,Technology,Semiconductors
Tom Udall (D-NM),"$237,700",EWEAX,Wells Fargo Advantage Intrns Wld Eq Fund,Technology,Semiconductors
Sheldon Whitehouse (D-RI),"$237,300",TMO,Thermo Fisher Scientific,Technology,Semiconductors
Rob Portman (R-OH),"$237,100",CISGX,Touchstone Sands Capital Institutional Growth,Technology,Semiconductors
Bill Cassidy (R-LA),"$236,700",SGENX,First Eagle Funds - Global Fund Mutual Fund,Technology,Semiconductors
Rob Portman (R-OH),"$236,600",CMVYX,Columbia Mid Cap Value Fund,Technology,Semiconductors
Dan Sullivan (R-AK),"$236,200",HACAX,Harbor Capital Appreciation Institutional,Technology,Semiconductors
Pat Toomey (R-PA),"$234,000",IJR,iShares Core S&P Small Cap ETF,Technology,Semiconductors
David Perdue (R-GA),"$233,700",GLW,Corning Inc,Technology,Semiconductors
Thom Tillis (R-NC),"$231,800",IWM,iShares Russell 2000 ETF,Technology,Semiconductors
Ron Wyden (D-OR),"$231,700",SGENX,First Eagle Funds - Global Fund Mutual Fund,Technology,Semiconductors
Sheldon Whitehouse (D-RI),"$230,300",VZ,Verizon Communications,Technology,Semiconductors
